category,dice_mean,dice_std,hd95_mean,hd95_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std
Anatomical,0.7247,0.2988,27.8041,31.5584,0.7865,0.2773,0.7521,0.2763
Restorations,0.4894,0.4228,8.4601,13.3078,0.6494,0.3782,0.6036,0.4123
Teeth,0.6904,0.3885,9.6026,16.5950,0.8284,0.2794,0.7301,0.3813
Canals,0.4174,0.2901,14.4963,13.9149,0.4477,0.3105,0.5488,0.2640
Pulps,0.6210,0.3645,6.3151,14.3049,0.6599,0.3258,0.7444,0.3341
Overall,0.6489,0.3746,10.6468,19.0325,0.7335,0.3199,0.7261,0.3540
